常看频道,#genre#
精品大剧,http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225519/index.m3u8
精彩影视,http://125.210.152.21:9120/live/JCYS.m3u8
海看大片,http://120.221.5.165:8089/PLTV/88888888/224/3221225632/index.m3u8
海看剧场,http://120.221.5.102:8089/PLTV/88888888/224/3221226053/index.m3u8
海看热播,http://120.221.5.102:8089/PLTV/88888888/224/3221225878/index.m3u8
海看爱宠,http://120.221.5.113:8089/PLTV/88888888/224/3221226071/index.m3u8
光影频道,http://120.221.5.113:8089/PLTV/88888888/224/3221225854/index.m3u8
海看电竞,http://120.221.5.165:8089/PLTV/88888888/224/3221225629/index.m3u8
海看少儿,http://120.221.5.101:8089/PLTV/88888888/224/3221225943/index.m3u8
海看教育,http://120.221.5.113:8089/PLTV/88888888/224/3221225852/index.m3u8
海看健康,http://120.221.5.113:8089/PLTV/88888888/224/3221226039/index.m3u8
海看演艺,http://120.221.5.113:8089/PLTV/88888888/224/3221226027/index.m3u8
黑莓电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225927/1.m3u8
黑莓动画,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225914/1.m3u8
黑莓电竟,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225931/1.m3u8
芒果TV独播,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225917/1.m3u8
蓝光电视剧,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226425/1.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221225929/1.m3u8
蓝光电影,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226325/1.m3u8#http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226302/1.m3u8
Y+频道,http://111.0.93.5/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229999/index.m3u8?fmt=ts2hls
欢笑剧场,http://27.148.240.138/PLTV/88888888/224/3221226761/1.m3u8
都市剧场,http://27.148.240.138/PLTV/88888888/224/3221226724/1.m3u8
全纪实,http://27.148.240.138/PLTV/88888888/224/3221226768/1.m3u8
纪实人文,http://27.148.240.138/PLTV/88888888/224/3221226734/1.m3u8
生活时尚,http://27.148.240.138/PLTV/88888888/224/3221226740/1.m3u8
极速汽车,http://27.148.240.138/PLTV/88888888/224/3221226742/1.m3u8
快乐垂钓,http://27.148.240.138/PLTV/88888888/224/3221226999/1.m3u8
金鹰纪实,http://27.148.240.138/PLTV/88888888/224/3221227003/1.m3u8
陶瓷频道,http://27.148.240.138/PLTV/88888888/224/3221226964/1.m3u8
靓装,http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=R5DC2A42FU309BB004K7738E848ICA43ED17PBM345713AV0Z57EA5W15D48CE92ED319F0&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&programid=4200000127.m3u8
甘肃家政,http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=R5DC2A42FU309BB004K7738E848ICA43ED17PBM345713AV0Z57EA5W15D48CE92ED319F0&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&programid=4200000108.m3u8
四海钓鱼,http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=R5DC2A42FU309BB004K7738E848ICA43ED17PBM345713AV0Z57EA5W15D48CE92ED319F0&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&programid=4200000129.m3u8
DOX,http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=R5E629BEAU3096C004K77453441IC5B5991BPBM3457138V0Z57EA5W15F9CBBA87CAA7EE&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&programid=4200000126.m3u8
精彩影视,http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=R5DC2A42FU309BB004K7738E848ICA43ED17PBM345713AV0Z57EA5W15D48CE92ED319F0&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&programid=4200000149.m3u8
新视觉,http://stream.slave.jxtvnet.tv:14311/playurl?accesstoken=R5DC2A42FU309BB004K7738E848ICA43ED17PBM345713AV0Z57EA5W15D48CE92ED319F0&playtype=live&protocol=http&playtoken=ABCDEFGH&auth=no&programid=4200000114#http://183.207.255.190/live/program/live/xsjhd/4000000/mnf.m3u8
茶频道,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226548/1.m3u8
湖南金鹰纪实,http://ott.fj.chinamobile.com/PLTV/88888888/224/3221226937/index.m3u8
快乐垂钓,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226549/1.m3u8
茶频道,http://125.210.152.21:9120/live/CPD.m3u8#http://112.17.40.211/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229404/index.m3u8?fmt=ts2hls
求索记录,http://39.135.98.8/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228972/01.m3u8?fmt=ts2hls
求索科学,http://39.135.98.8/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228975/01.m3u8?fmt=ts2hls
求索动物,http://39.135.98.8/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228980/01.m3u8?fmt=ts2hls
求索生活,http://39.135.98.8/hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221228983/01.m3u8?fmt=ts2hls
体育赛事,rtsp://27.148.236.225:554/live/ch19120509281655934443.sdp?&vcdnid=001&mediaid=ch19120509281655934443&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3MOuQd3OXCuYm3zrAgMpszxVDVbfG%2BwrQh%2FIBrNfeAYHh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
中甲联赛,rtsp://27.148.236.225:554/live/ch20091410382927048704.sdp?&vcdnid=001&mediaid=ch20091410382927048704&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3Ms0ydPhTQDf84MYuCshdfp6hoEsViy3ADUPqrW4Pg%2Fdh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D

全纪实,http://140.207.241.2:8080/live/program/live/qjshd/4000000/mnf.m3u8
纪实人文,http://140.207.241.2:8080/live/program/live/jspdhd/4000000/mnf.m3u8
生活时尚,http://140.207.241.2:8080/live/program/live/shsshd/4000000/mnf.m3u8
第一财经,http://140.207.241.2:8080/live/program/live/dycjhd/4000000/mnf.m3u8
动漫秀场,http://140.207.241.2:8080/live/program/live/dmxchd/4000000/mnf.m3u8
哈哈炫动,http://140.207.241.2:8080/live/program/live/hhxdhd/4000000/mnf.m3u8
极速汽车,http://140.207.241.2:8080/live/program/live/jsqchd/4000000/mnf.m3u8
欢笑剧场,http://140.207.241.2:8080/live/program/live/hxjchd/4000000/mnf.m3u8
都市剧场,http://140.207.241.2:8080/live/program/live/dsjchd/4000000/mnf.m3u8
劲爆体育,http://140.207.241.2:8080/live/program/live/jbtyhd/4000000/mnf.m3u8
五星体育频道,http://140.207.241.2:8080/live/program/live/ssty/4000000/mnf.m3u8
新视觉,http://140.207.241.2:8080/live/program/live/xsjhd/4000000/mnf.m3u8
魅力足球,http://140.207.241.2:8080/live/program/live/mlyyhd/4000000/mnf.m3u8
游戏风云,http://140.207.241.2:8080/live/program/live/yxfyhd/4000000/mnf.m3u8
幸福彩,http://140.207.241.2:8080/live/program/live/xfchd/4000000/mnf.m3u8
法治天地,http://140.207.241.2:8080/live/program/live/fztd/1300000/mnf.m3u8
金色频道,http://140.207.241.2:8080/live/program/live/jingsepd/1300000/mnf.m3u8
七彩戏剧,http://140.207.241.2:8080/live/program/live/qcxj/1300000/mnf.m3u8
东方财经,http://140.207.241.2:8080/live/program/live/dfcj/1300000/mnf.m3u8
4K频道,#genre#
BesTV4k,http://117.148.187.37/PLTV/88888888/224/3221226718/index.m3u8#http://117.148.187.59/PLTV/88888888/224/3221226718/index.m3u8
南国都市频道4K,http://aplay.gztv.com/sec/shenghuos.m3u8#http://116.199.5.51:8114/00000000/index.m3u8?&Fsv_ctype=LIVES&Fsv_otype=1&FvSeid=5abd1660af1babb4&Fsv_filetype=1&Fsv_ctype=LIVES&Fsv_cid=0&Fsv_chan_hls_se_idx=123&Fsv_rate_id=0&Fsv_SV_PARAM1=0&Fsv_ShiftEnable=0&Fsv_ShiftTsp=0&Provider_id=&Pcontent_id=&Fsv_CMSID=&Fsv_otype=1
广东综艺频道4K,http://player.ioioz.com/1786/gd/gdtvm3u8.php?id=gdzy#http://cpz.6my.xyz/dougu.php?id=GDZYHD4K_38000
DOX4K,http://103.140.229.13/zztv/gudou.php?id=dox4k_16000
纯享4K,http://39.134.115.163:8080/PLTV/88888910/224/3221225786/index.m3u8#http://39.134.157.199/PLTV/88888888/224/3221225670/index.m3u8#http://suo.im/6ctzMa#http://39.134.156.16/PLTV/88888888/224/3221225670/index.m3u8
CCTV-4K,http://110.242.20.88/livews-4k.5club.cctv.cn/live/4Kcctv.stream/playlist.m3u8#http://hwltc.tv.cdn.zj.chinamobile.com/PLTV/88888888/224/3221229373/01.m3u8?fmt=ts2hls#http://117.148.187.96/PLTV/88888888/224/3221226758/index.m3u8
爱上4K,rtsp://27.148.236.230:1554/iptv/import/Tvod/iptv/001/001/ch18122110190633826391.rsc/53443_Uni.sdp#http://suo.im/5u6SVM#rtsp://27.148.219.129:554/live/ch18122110190633826391.sdp?playtype=1&boid=001&backupagent=27.148.219.129:554&clienttype=1&time=20191117235503+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5922751202156&mediaid=ch18122110190633826391&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=65100499007034400000288CB89A9654&nodelevel=3&AuthInfo=BESeR9eMRDi8RsZJsJm5udNG4Ba7vZ0zVUeX0B%2B%2BlPNAKjtwQXieEkd8yxUN3C5%2BtcJ7NgDL0pa6L%2FNky0Uo7A%3D%3D&bitrate=2000 RTSP/1.0
海看4K,http://120.221.5.105:8089/PLTV/88888888/224/3221225833/1.m3u8
咪咕4K,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226399/1.m3u8
IPTV4K,http://124.229.36.68:4022/udp/239.76.252.35:9000
爱上4K,http://124.229.36.68:4022/udp/239.76.252.223:9000
爱上4K,rtsp://27.148.236.225:554/live/ch18122110190633826391.sdp?&vcdnid=001&mediaid=ch18122110190633826391&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3KdddFhQqneQ7xT3h8OtIYLcCYLe6FuiR2cFZH7WZJ4Hh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D
欢笑剧场,http://117.148.130.102/PLTV/88888888/224/3221230739/index.m3u8
地方频道,#genre#
莆田-1,rtsp://112.50.242.148/PLTV/88888888/224/3221226724/45553236.smil
莆田仙游,http://hls111.dszbdq.cn/fjpt.php?id=6
泉州新闻,http://udb459lh58.xg.ibzyun.com/fjqz?id=news#rtsp://112.50.242.148/PLTV/88888888/224/3221226810/46680493.smil
泉州闽南语,http://udb459lh58.xg.ibzyun.com/fjqz?id=mny
永春一套,https://39768-cdn-1.hlsplay.aodianyun.com/tv_radio_39768/tv_channel_1792.m3u8
永春二套,https://39768-cdn-1.hlsplay.aodianyun.com/tv_radio_39768/tv_channel_1793.m3u8
晋江电视台,http://stream.jinjiang.tv/1/sd/live.m3u8
石狮电视台,http://player.juyun.tv/tv/26253149.m3u8
南安新闻综合,http://natv.cnjrna.com:3000/channel/sovp/1000000000000018/video_1564_none.m3u8
安溪电视台,http://lss-33d83332dd699274.hlsplay.aodianyun.com/tv_radio_36351/tv_channel_1025__redirect__36351.m3u8
厦门卫视,http://cstvalic.v.myalicdn.com/cstv/xiamen4_1/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226781/3.m3u8
厦门新闻频道,http://xiamenalic.v.myalicdn.com/xiamen/xiamen1_1/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226814/1.m3u8
厦门纪实频道,http://cstvalic.v.myalicdn.com/cstv/xiamen2_1/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226777/1.m3u8
厦门影视频道,http://cstvalic.v.myalicdn.com/cstv/xiamen3_1/index.m3u8#http://112.50.243.8/PLTV/88888888/224/3221226760/1.m3u8
厦门移动6频道,http://xiamenalic.v.myalicdn.com/xiamen/xiamenyidong_1/index.m3u8
龙岩综合频道,http://live.lytv.net.cn/zhpwd/hd/live.m3u8
龙岩公共频道,http://live.lytv.net.cn/ggpd/sd/live.m3u8
宁德新闻综合频道,http://live.nddst.com/ndtv1/1080P/live.m3u8
宁德公共影视频道,http://live.nddst.com/ndtv2/1080P/live.m3u8
福州新闻频道,http://live.zohi.tv/video/s10001-FZTV-1/index.m3u8
福州影视频道,http://live.zohi.tv/video/s10001-yspd-2/index.m3u8
福州生活频道,http://live.zohi.tv/video/s10001-shpd-3/index.m3u8
福州少儿频道,http://live.zohi.tv/video/s10001-sepd-4/index.m3u8
福清综合,http://37652.hlsplay.aodianyun.com/tv_radio_37652/tv_channel_699.m3u8
永泰电视台,http://ytrmtzx.com:8278/yongtaipindao1/playlist.m3u8
平潭新闻综合,http://31191.hlsplay.aodianyun.com/tv_radio_31191/tv_channel_907.m3u8
长乐综合,http://35908.hlsplay.aodianyun.com/guangdianyun_35908/tv_channel_327.m3u8
三明一套,http://stream.smntv.cn/smtv1/sd/live.m3u8#http://0594.52yi.vip/fjsm.php?id=11
三明二套,http://stream.smntv.cn/smtv2/sd/live.m3u8#http://0594.52yi.vip/fjsm.php?id=12
蒋乐1,https://juyunlive.juyun.tv/live/33666148.m3u8
蒋乐2,https://juyunlive.juyun.tv/live/33667142.m3u8
宁化电视台,http://fjnh.chinashadt.com:2036/live/stream:nh1.stream/playlist.m3u8
尤溪城市生活,https://38269.hlsplay.aodianyun.com/tv_radio_38269/tv_channel_766.m3u8
尤溪旅游,http://38269.hlsplay.aodianyun.com/tv_radio_38269/tv_channel_767.m3u8
尤溪新闻综合,https://38269.hlsplay.aodianyun.com/tv_radio_38269/tv_channel_765.m3u8#http://0594.52yi.vip/fjgw.php?id=231
沙县新闻综合,http://0594.52yi.vip/fjgw.php?id=246#https://35498.hlsplay.aodianyun.com/guangdianyun_35498/tv_channel_425.m3u8
沙县小吃旅游,https://35498.hlsplay.aodianyun.com/guangdianyun_35498/tv_channel_426.m3u8
漳州新闻综合,http://31182.hlsplay.aodianyun.com/lms_31182/tv_channel_175.m3u8
漳浦电视,http://220.161.87.62:8800/hls/0/index.m3u8
永安综合,http://218.106.152.240:800/113UQb0/2000/live.m3u8
永安生活,http://218.106.152.240:800/hnqlAQO/1000/live.m3u8
大田2,http://r.gslb.lecloud.com/live/hls/2020071430dbw002716/desc.m3u8
福州新闻,rtsp://27.148.236.225:554/live/ch18021018575987660580.sdp?playtype=1&FccMediaIP=239.61.2.212&FccMediaPort=9260&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18021018575987660580&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F0PYs3Fmr49otAtJiBjOccoh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
厦门新闻,rtsp://27.148.236.225:554/live/ch18021018582713742946.sdp?playtype=1&FccMediaIP=239.61.2.213&FccMediaPort=9266&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18021018582713742946&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F1a9GOpIlyYaB%2BIdv3QAYS7h6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
漳州新闻,rtsp://27.148.236.225:554/live/ch18021018563878531243.sdp?playtype=1&FccMediaIP=239.61.2.164&FccMediaPort=8972&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18021018563878531243&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F0jTrbzZvceI%2B1K1MU57a%2Bah6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
泉州新闻,rtsp://27.148.236.225:554/live/ch18020116435220856291.sdp?playtype=1&FccMediaIP=239.61.2.193&FccMediaPort=9146&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18020116435220856291&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3LyueL%2FIItl6ltR7Jlhi2iT4gOOVltus1PCgI%2BuGvS4jh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
三明新闻,rtsp://27.148.236.225:554/live/ch18021018570726044306.sdp?playtype=1&FccMediaIP=239.61.2.208&FccMediaPort=9236&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18021018570726044306&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F3TW6o7C0hud6CM3xRTcOqdh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
莆田新闻,rtsp://27.148.236.225:554/live/ch18021018571856751097.sdp?playtype=1&FccMediaIP=239.61.2.209&FccMediaPort=9242&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18021018571856751097&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F112%2Brsx570MiFKQdF9pLVsh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
南平新闻,rtsp://27.148.236.225:554/live/ch18021018565597819147.sdp?playtype=1&FccMediaIP=239.61.2.207&FccMediaPort=9230&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18021018565597819147&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F3bFISy2Ta4P0XUyZsFST5Lh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
龙岩新闻,rtsp://27.148.236.225:554/live/ch18021018573041536970.sdp?playtype=1&FccMediaIP=239.61.2.210&FccMediaPort=9248&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18021018573041536970&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F259Xu5Fk8zWPeem7lWOn6Rh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
宁德新闻,rtsp://27.148.236.225:554/live/ch18021018574362353141.sdp?playtype=1&FccMediaIP=239.61.2.211&FccMediaPort=9254&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18021018574362353141&ctype=2&TSTVTimeLife=0&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3E6N9YKW3eHRKgz%2FFfsv%2B%2F0dKG83ulFt%2B0X%2BI05hxNaKh6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
平潭1套,rtsp://27.148.236.225:554/live/ch18111517242607846812.sdp?playtype=1&FccMediaIP=239.61.2.230&FccMediaPort=9368&boid=001&backupagent=27.148.236.225:554&clienttype=1&time=20200920000507+08&life=172800&ifpricereqsnd=1&vcdnid=001&userid=5942750465801&mediaid=ch18111517242607846812&ctype=2&TSTVTimeLife=7200&contname=&authid=0&terminalflag=1&UserLiveType=0&stbid=0010039901049000155238FACAC341A9&nodelevel=3&profilecode=&AuthInfo=K36E2Dx5hD0cEce%2BGIlz3AT%2Fwm6JAS3ofw2GgyhXlqPtLtsHMG%2BSxhhWwcR3fsY2h6eW6fiwjErYREav%2F%2FQ8mg%3D%3D&bitrate=2000&distype=0
湖南教育台,http://pull.hnedutv.com/live/edutv.m3u8
茶频道,http://124.229.36.68:4022/udp/239.76.252.239:9000
湖南经视频道,http://124.229.36.68:4022/udp/239.76.252.116:9000
湖南都市频道,http://124.229.36.68:4022/udp/239.76.252.117:9000
湖南电视剧频道,http://124.229.36.68:4022/udp/239.76.252.118:9000
湖南电影频道,http://124.229.36.68:4022/udp/239.76.252.119:9000
湖南金鹰卡通频道,http://124.229.36.68:4022/udp/239.76.252.120:9000
湖南娱乐频道,http://124.229.36.68:4022/udp/239.76.252.121:9000
湖南金鹰纪实频道,http://124.229.36.68:4022/udp/239.76.252.122:9000
湖南公共频道,http://124.229.36.68:4022/udp/239.76.252.123:9000
湖南国际频道,http://124.229.36.68:4022/udp/239.76.252.124:9000
湖南国际频道,http://124.229.36.68:4022/udp/239.76.252.240:9000
快乐垂钓,http://124.229.36.68:4022/udp/239.76.252.127:9000
湘西公共,http://124.229.36.68:4022/udp/239.76.252.209:9000
湖南先锋乒羽,http://39.135.225.5:18890/PLTV/88888888/224/3221226851/index.m3u8
张家界新闻频道,http://stream.zjjrtv.com/zjjtv1/hd/live.m3u8
张家界公共频道,http://stream.zjjrtv.com/zjjtv2/hd/live.m3u8
郎溪新闻,http://117.70.93.210:1935/live/xinwen/playlist.m3u8
郎溪影视,http://117.70.93.210:1935/live/yingshi/playlist.m3u8
郎溪资讯,http://117.70.93.210:1935/live/zixun/playlist.m3u8
湖南电视剧频道,http://180.97.74.131/cache.ott.hnbblive.itv.cmvideo.cn/000000001000/8765482907954673867/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=8765482907954673867&livemode=1&channel-id=hnbblive&version=1.0&owaccmark=8765482907954673867&owchid=hnbblive&owsid=5799041588263884403&AuthInfo=DBUICDpaEDC3E4Yk9rB5JhE2OEcgHj4j4Lu3NMN0BqM5OsCEl9wLc3krS20N0ZKbcvjRf/2TGTMJkQ/OCzzxdKAWVSM0TLeHHIOjYfaY9Id23Xaag4ocrgenQ2TWKIjq
湖南电影频道,http://180.97.74.131/cache.ott.hnbblive.itv.cmvideo.cn/000000001000/7884242846753128038/index.m3u8?stbId=C04003FF004735100000288CB8C33EFC&Contentid=7884242846753128038&livemode=1&channel-id=hnbblive&version=1.0&owaccmark=7884242846753128038&owchid=hnbblive&owsid=5830611588263901167&AuthInfo=DBUICDpaEDC3E4Yk9rB5JhE2OEcgHj4j4Lu3NMN0BqMjK0+Ea4nfPtUD0hbEeqLheRRlEsKyb5DSYPcngK/StgnfwL//NIXy45O72rJL3aNImuTsuA4U2gt4/HN78Euo
湖南电视剧,http://tv.kksyw.top/gy_688/gn/woniu.php?id=10000045
北京新闻频道,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226437/1.m3u8
BTV冬奥纪实,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226438/1.m3u8
北京文艺频道,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226440/1.m3u8
北京影视频道,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226486/1.m3u8
北京科教频道,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226434/1.m3u8
北京生活频道,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226514/1.m3u8
北京财经频道,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226516/1.m3u8
北京青年频道,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226513/1.m3u8
BTV卡酷少儿,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226558/1.m3u8
北京国际,http://otttv.bj.chinamobile.com/PLTV/88888888/224/3221226510/1.m3u8

东方影视频道,http://140.207.241.2:8080/live/program/live/dsjpdhd/4000000/mnf.m3u8
上视新闻频道,http://140.207.241.2:8080/live/program/live/xwzhhd/4000000/mnf.m3u8
上海都市频道,http://140.207.241.2:8080/live/program/live/ylpdhd/4000000/mnf.m3u8
上视外语频道,http://140.207.241.2:8080/live/program/live/wypdhd/4000000/mnf.m3u8

浙江钱江都市,http://hw-m-l.cztv.com/channels/lantian/channel02/1080p.m3u8
浙江经视频道,http://yd-m-l.cztv.com/channels/lantian/channel03/1080p.m3u8
浙江教科影视,http://yd-m-l.cztv.com/channels/lantian/channel04/1080p.m3u8
浙江影视娱乐,http://yd-m-l.cztv.com/channels/lantian/channel05/1080p.m3u8
浙江民生休闲,http://hw-m-l.cztv.com/channels/lantian/channel06/1080p.m3u8
浙江公共新闻,http://hw-m-l.cztv.com/channels/lantian/channel07/1080p.m3u8
浙江少儿频道,http://hw-m-l.cztv.com/channels/lantian/channel08/1080p.m3u8
浙江留学频道,http://hw-m-l.cztv.com/channels/lantian/channel09/1080p.m3u8
浙江国际频道,http://hw-m-l.cztv.com/channels/lantian/channel10/1080p.m3u8
数码时代,http://yd-m-l.cztv.com//channels/lantian/channel12/1080p.m3u8
杭州综合频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229307/index.m3u8#http://szdl.3322.org:8888/rtp/233.50.201.173:5140#http://122.235.147.48:4000/udp/233.50.201.173:5140
杭州西湖明珠,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229310/index.m3u8#http://szdl.3322.org:8888/rtp/233.50.201.174:5140
杭州生活频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229313/index.m3u8#http://szdl.3322.org:8888/rtp/233.50.201.175:5140
杭州影视频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229377/index.m3u8#http://szdl.3322.org:8888/rtp/233.50.201.176:5140
杭州青少体育频道,http://live.aikan.miguvideo.com/PLTV/88888888/224/3221229316/index.m3u8#http://szdl.3322.org:8888/rtp/233.50.201.177:5140
杭州导视频道,http://szdl.3322.org:8888/rtp/233.50.201.182:5140
舟山公共频道,http://live.wifizs.cn/ggsh/sd/live.m3u8
舟山群岛旅游台,http://live.wifizs.cn/qdly/sd/live.m3u8
舟山新闻综合频道,http://live.wifizs.cn/xwzh/sd/live.m3u8
嘉兴新闻综合,http://stream1.jiaxingren.com/xwzh/sd/live.m3u8?_upt=4fbd1f881561229411
